hotel_id,hotel_name,city,country,property_type,star_rating,room_type,price_per_night_aud,max_guests,amenities,availability_start,availability_end
INT-HT-00200,Marriott San Francisco,San Francisco,USA,Boutique,3,Standard,598,3,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00201,Hyatt Barcelona,Barcelona,Spain,Resort,5,Suite,967,2,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00202,Hilton San Francisco,San Francisco,USA,Resort,5,Suite,708,1,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00203,Hyatt Dubai,Dubai,UAE,Boutique,5,Deluxe,684,3,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00204,Hilton Istanbul,Istanbul,Turkey,Resort,3,Deluxe,797,4,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00205,Marriott Hong Kong,Hong Kong,China,Hotel,3,Standard,556,3,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00206,Marriott Seoul,Seoul,South Korea,Hotel,3,Deluxe,623,4,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00207,Marriott Tokyo,Tokyo,Japan,Resort,3,Standard,686,1,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00208,Marriott Barcelona,Barcelona,Spain,Hotel,3,Suite,666,4,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00209,Sheraton Hong Kong,Hong Kong,China,Resort,4,Suite,550,4,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00210,Marriott London,London,UK,Boutique,3,Suite,743,2,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00211,Hilton Zurich,Zurich,Switzerland,Resort,3,Deluxe,418,1,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00212,Hyatt London,London,UK,Resort,4,Standard,498,4,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00213,Marriott Berlin,Berlin,Germany,Boutique,3,Deluxe,507,2,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00214,Hilton Paris,Paris,France,Resort,5,Standard,972,2,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00215,InterContinental Istanbul,Istanbul,Turkey,Boutique,3,Deluxe,609,4,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00216,Sheraton Zurich,Zurich,Switzerland,Boutique,4,Standard,685,2,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00217,Hyatt Amsterdam,Amsterdam,Netherlands,Hotel,5,Deluxe,1033,1,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00218,Hilton Toronto,Toronto,Canada,Boutique,5,Standard,806,4,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00219,InterContinental Toronto,Toronto,Canada,Boutique,5,Deluxe,913,2,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00220,Sheraton Paris,Paris,France,Hotel,5,Standard,943,1,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00221,Hyatt New York,New York,USA,Boutique,4,Standard,842,4,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00222,Hilton Toronto,Toronto,Canada,Boutique,4,Deluxe,559,2,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00223,Four Seasons Zurich,Zurich,Switzerland,Boutique,3,Standard,450,1,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00224,Sheraton Amsterdam,Amsterdam,Netherlands,Hotel,4,Suite,865,2,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00225,Sheraton Bangkok,Bangkok,Thailand,Resort,5,Standard,1062,4,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00226,Four Seasons Singapore,Singapore,Singapore,Boutique,4,Standard,729,1,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00227,Four Seasons Barcelona,Barcelona,Spain,Hotel,4,Standard,686,4,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00228,Hilton London,London,UK,Resort,5,Suite,1003,2,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00229,Sheraton Toronto,Toronto,Canada,Hotel,4,Standard,584,2,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00230,Hyatt Mumbai,Mumbai,India,Hotel,3,Standard,488,4,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00231,Hyatt Los Angeles,Los Angeles,USA,Boutique,4,Suite,578,3,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00232,Hilton Paris,Paris,France,Boutique,4,Deluxe,670,2,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00233,Sheraton New York,New York,USA,Resort,5,Standard,973,4,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00234,Four Seasons New York,New York,USA,Resort,5,Deluxe,831,4,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00235,Four Seasons Paris,Paris,France,Resort,3,Suite,470,1,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00236,Sheraton Amsterdam,Amsterdam,Netherlands,Resort,5,Standard,928,3,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00237,InterContinental Zurich,Zurich,Switzerland,Hotel,5,Standard,754,1,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00238,Marriott Berlin,Berlin,Germany,Hotel,5,Deluxe,1052,1,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00239,Four Seasons New York,New York,USA,Hotel,3,Suite,451,3,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00240,Marriott Zurich,Zurich,Switzerland,Boutique,4,Deluxe,915,2,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00241,Four Seasons Toronto,Toronto,Canada,Hotel,4,Suite,707,1,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00242,InterContinental Barcelona,Barcelona,Spain,Hotel,3,Suite,480,4,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00243,Four Seasons Bangkok,Bangkok,Thailand,Hotel,3,Standard,721,1,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00244,Marriott Paris,Paris,France,Boutique,4,Standard,517,2,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00245,Hyatt San Francisco,San Francisco,USA,Resort,3,Standard,406,3,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00246,InterContinental Paris,Paris,France,Resort,4,Suite,645,3,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00247,Marriott Tokyo,Tokyo,Japan,Hotel,4,Deluxe,648,4,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00248,Hilton Tokyo,Tokyo,Japan,Boutique,4,Deluxe,924,2,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00249,Hilton Seoul,Seoul,South Korea,Resort,5,Suite,939,2,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00250,InterContinental Singapore,Singapore,Singapore,Boutique,4,Standard,803,3,"wifi,AC,concierge",2026-01-01,2026-12-31
