activity_id,activity_name,city,country,address,category,vibe,best_season,price_aud,rating,suitable_for,duration_hours,description
INT-AC-00097,Scuba Diving Lesson,Maldives,Maldives,"121 Adventure Hub, Baa Atoll, Maldives, Maldives",Adventure,Luxury; Tropical; Remote,Spring; Winter,140,4.3,Solo,5 hrs,"PADI-certified introductory dive in crystal-clear coastal waters, covering basic techniques in a confined pool before an open-water experience."
INT-AC-00098,Hot Air Balloon Ride,Zurich,Switzerland,"167 Wharf, Enge, Zurich, Switzerland",Adventure,Clean; Alpine; Upscale,Summer; Autumn,255,4.7,Couple,5 hrs,"Float over the city at dawn in a private basket, watching the landscape emerge in golden light with a champagne breakfast on landing."
INT-AC-00099,Zip Line Forest Canopy,Los Angeles,USA,"52 Wharf, Hollywood, Los Angeles, USA",Adventure,Sunny; Creative; Beach,Spring; Summer; Autumn,75,4.8,Group,3 hrs,"Fly through the forest canopy on a multi-line zip circuit up to 200 m long, with safety briefing, harness fitting, and photos included."
INT-AC-00100,Stand-Up Paddleboard Tour,Toronto,Canada,"172 Outdoor Centre, Kensington, Toronto, Canada",Adventure,Multicultural; Friendly; Urban,Summer; Autumn,45,4.6,Solo,4 hrs,"Guided SUP tour along calm coastal or river waterways, exploring hidden coves and sea caves only accessible from the water."
INT-AC-00101,Coastal Cliff Walk,Tokyo,Japan,"197 National Park Gate, Asakusa, Tokyo, Japan",Adventure,Bustling; Modern; Traditional,Spring; Autumn,35,4.6,Solo,6 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00102,Night Kayaking Tour,Paris,France,"28 National Park Gate, Montmartre, Paris, France",Adventure,Romantic; Artistic; Chic,Spring; Summer; Autumn,120,4.2,Group,4 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00103,Harbour Sunset Cruise,Brisbane,Australia,"102 Sky Lounge, Fortitude Valley, Brisbane, Australia",Relaxation,Outdoorsy; Relaxed; Sunny,Spring; Autumn; Winter,130,4.0,Group,5 hrs,"A scenic evening cruise around the harbour with cocktails, local cheese, and a live acoustic duo as the city lights come on."
INT-AC-00104,Spa & Wellness Half Day,Berlin,Germany,"27 Rooftop Terrace, Kreuzberg, Berlin, Germany",Relaxation,Edgy; Creative; Historic,Spring; Summer,200,4.7,Couple,5 hrs,"Four hours of treatments including a traditional massage, thermal pools, and a skin ritual using locally sourced botanicals."
INT-AC-00105,Rooftop Bar Sunset Experience,Dubai,UAE,"89 Wellness Centre, Downtown Dubai, Dubai, UAE",Relaxation,Luxurious; Futuristic; Vibrant,Spring; Winter,85,4.8,Couple,5 hrs,"Reserved rooftop terrace access during golden hour, with a curated cocktail menu and 360-degree views over the city's skyline."
INT-AC-00106,City Panorama Cable Car,Singapore,Singapore,"4 Spa Quarter, Chinatown, Singapore, Singapore",Relaxation,Modern; Multicultural; Clean,Spring; Summer; Autumn; Winter,65,4.4,Couple,3 hrs,"Ride historic gondolas to the city's highest viewpoint, with optional guided commentary and a café terrace at the summit."
INT-AC-00107,Morning Yoga & Meditation,London,UK,"163 Spa Quarter, Kensington, London, UK",Relaxation,Historic; Cosmopolitan; Eclectic,Spring; Summer,50,4.8,Solo,4 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00108,Thermal Baths & Spa,New York,USA,"188 Rooftop Terrace, Midtown, New York, USA",Relaxation,Fast-paced; Iconic; Diverse,Spring; Autumn,100,4.5,Solo,4 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00109,Sydney Food Tour,Sydney,Australia,"120 Harbour Kitchen, Bondi, Sydney, Australia",Food,Beach; Outdoorsy; Vibrant,Spring; Summer; Autumn,110,5.0,Couple,4 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00110,Bangkok Cooking Class,Bangkok,Thailand,"23 Street Food Alley, Silom, Bangkok, Thailand",Food,Lively; Spiritual; Street food,Spring; Winter,135,4.8,Couple,3 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00111,Street Food Night Walk Barcelona,Barcelona,Spain,"87 Harbour Kitchen, Gothic Quarter, Barcelona, Spain",Food,Artistic; Beach; Festive,Spring; Summer,50,4.9,Group,3 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00112,Sushi Making Workshop,Rome,Italy,"55 Harbour Kitchen, Colosseum, Rome, Italy",Food,Historic; Romantic; Culinary,Spring; Autumn,100,4.5,Couple,2 hrs,"Hands-on session teaching rice preparation, fish selection, and rolling technique — finish by eating your creations with sake pairings."
INT-AC-00113,Wine & Cheese Tasting,Amsterdam,Netherlands,"143 Night Bazaar, Museumplein, Amsterdam, Netherlands",Food,Liberal; Charming; Cycling-friendly,Spring; Summer,105,4.8,Group,3 hrs,"Curated tasting of local and imported wines paired with artisan cheeses, hosted in a cellar setting with a certified sommelier."
INT-AC-00114,Local Market Food Experience,Seoul,South Korea,"185 Street Food Alley, Gangnam, Seoul, South Korea",Food,Trendy; K-pop; Foodie,Spring; Autumn,30,4.5,Solo,2 hrs,"Navigate a vibrant local produce market with a chef guide, sampling seasonal specialities and learning the stories behind each ingredient."
INT-AC-00115,Craft Beer & Brewery Tour,Bali,Indonesia,"166 Harbour Kitchen, Ubud, Bali, Indonesia",Food,Spiritual; Tropical; Bohemian,Spring; Summer; Autumn,80,4.5,Group,4 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00116,Farm-to-Table Dinner Experience,Cape Town,South Africa,"57 Night Bazaar, Sea Point, Cape Town, South Africa",Food,Scenic; Adventurous; Diverse,Summer; Autumn,150,4.4,Couple,2 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00117,Kyoto History Walking Tour,Kyoto,Japan,"142 Cultural Precinct, Gion, Kyoto, Japan",Culture,Serene; Traditional; Cultural,Spring; Autumn,60,4.7,Group,3 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00118,Museum Skip-the-Line Tour,Vienna,Austria,"70 Cultural Precinct, Naschmarkt, Vienna, Austria",Culture,Imperial; Musical; Café culture,Spring; Summer,75,4.3,Couple,3 hrs,"Fast-track entry and an in-depth guided tour of the city's premier museum, covering highlights and hidden gems in under three hours."
INT-AC-00119,Istanbul Art Gallery Visit,Istanbul,Turkey,"31 Old Town, Kadıköy, Istanbul, Turkey",Culture,Historic; Exotic; East-meets-West,Spring; Autumn,45,4.3,Solo,2 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00120,Ancient Temple Morning Walk,Lisbon,Portugal,"190 Museum District, Alfama, Lisbon, Portugal",Culture,Soulful; Coastal; Affordable,Spring; Summer; Autumn,65,5.0,Solo,2 hrs,"Early-morning visit to a UNESCO-listed temple complex at sunrise, experiencing rituals and peaceful courtyards before tourist crowds arrive."
INT-AC-00121,Old Town Architecture Tour,Prague,Czech Republic,"76 Museum District, Malá Strana, Prague, Czech Republic",Culture,Fairy-tale; Beer culture; Gothic,Spring; Summer,70,4.3,Couple,2 hrs,A 90-minute walking tour tracing the city's architectural evolution from medieval lanes to baroque facades and modernist interventions.
INT-AC-00122,Cultural Dance Show,Maldives,Maldives,"71 Museum District, North Malé Atoll, Maldives, Maldives",Culture,Luxury; Tropical; Remote,Spring; Winter,85,4.4,Group,2 hrs,"An evening performance showcasing traditional folk dances, live music, and costume, followed by a meet-the-artists session backstage."
INT-AC-00123,Traditional Craft Workshop,Zurich,Switzerland,"27 Cultural Precinct, Altstadt, Zurich, Switzerland",Culture,Clean; Alpine; Upscale,Summer; Autumn,70,5.0,Couple,2 hrs,"A two-hour hands-on session learning a regional craft — ceramics, weaving, or bookbinding — guided by a master artisan."
INT-AC-00124,Photography City Tour,Los Angeles,USA,"113 Cultural Precinct, Santa Monica, Los Angeles, USA",Culture,Sunny; Creative; Beach,Spring; Summer; Autumn,105,4.0,Couple,3 hrs,"A guided photo walk through the city's most photogenic corners, with tips on composition, light, and storytelling from a professional photographer."
INT-AC-00125,Street Art & Graffiti Tour,Toronto,Canada,"30 Cultural Precinct, CN Tower, Toronto, Canada",Culture,Multicultural; Friendly; Urban,Summer; Autumn,55,4.2,Group,3 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00126,Local Neighbourhood Walk,Tokyo,Japan,"39 Museum District, Shinjuku, Tokyo, Japan",Culture,Bustling; Modern; Traditional,Spring; Autumn,30,4.4,Solo,2 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00127,Paris Bike Tour,Paris,France,"143 Adventure Hub, Le Marais, Paris, France",Adventure,Romantic; Artistic; Chic,Spring; Summer; Autumn,75,4.9,Solo,4 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00128,River Kayaking Experience,Brisbane,Australia,"114 Outdoor Centre, CBD, Brisbane, Australia",Adventure,Outdoorsy; Relaxed; Sunny,Spring; Autumn; Winter,125,4.6,Group,6 hrs,"Paddle through scenic river gorges with an experienced instructor — safety gear, refreshments, and transport included."
INT-AC-00129,Sunset Sailing Cruise,Berlin,Germany,"157 Adventure Hub, Mitte, Berlin, Germany",Adventure,Edgy; Creative; Historic,Spring; Summer,120,4.9,Group,5 hrs,"A two-hour sunset cruise aboard a traditional sailing vessel, with canapés, local wine, and panoramic views of the city skyline."
INT-AC-00130,Jungle Trekking Adventure,Dubai,UAE,"170 National Park Gate, Marina, Dubai, UAE",Adventure,Luxurious; Futuristic; Vibrant,Spring; Winter,70,4.9,Group,4 hrs,"Half-day guided trek through primary rainforest, spotting endemic wildlife and crossing rope bridges, concluding with a riverside picnic."
INT-AC-00131,Desert Safari Experience,Singapore,Singapore,"1 Wharf, Orchard, Singapore, Singapore",Adventure,Modern; Multicultural; Clean,Spring; Summer; Autumn; Winter,210,4.2,Group,3 hrs,"Dune-bashing by 4WD followed by a Bedouin-style camp dinner under the stars, with camel rides, henna, and live music included."
INT-AC-00132,Rock Climbing London,London,UK,"60 Adventure Hub, Covent Garden, London, UK",Adventure,Historic; Cosmopolitan; Eclectic,Spring; Summer,105,4.5,Group,5 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00133,Scuba Diving Lesson,New York,USA,"68 Wharf, Brooklyn, New York, USA",Adventure,Fast-paced; Iconic; Diverse,Spring; Autumn,125,4.7,Solo,3 hrs,"PADI-certified introductory dive in crystal-clear coastal waters, covering basic techniques in a confined pool before an open-water experience."
INT-AC-00134,Hot Air Balloon Ride,Sydney,Australia,"140 Adventure Hub, Manly, Sydney, Australia",Adventure,Beach; Outdoorsy; Vibrant,Spring; Summer; Autumn,410,4.6,Couple,6 hrs,"Float over the city at dawn in a private basket, watching the landscape emerge in golden light with a champagne breakfast on landing."
INT-AC-00135,Zip Line Forest Canopy,Bangkok,Thailand,"16 Adventure Hub, Sukhumvit, Bangkok, Thailand",Adventure,Lively; Spiritual; Street food,Spring; Winter,95,4.6,Solo,4 hrs,"Fly through the forest canopy on a multi-line zip circuit up to 200 m long, with safety briefing, harness fitting, and photos included."
INT-AC-00136,Stand-Up Paddleboard Tour,Barcelona,Spain,"120 Adventure Hub, Eixample, Barcelona, Spain",Adventure,Artistic; Beach; Festive,Spring; Summer,55,4.8,Couple,6 hrs,"Guided SUP tour along calm coastal or river waterways, exploring hidden coves and sea caves only accessible from the water."
INT-AC-00137,Coastal Cliff Walk,Rome,Italy,"21 Outdoor Centre, Campo de Fiori, Rome, Italy",Adventure,Historic; Romantic; Culinary,Spring; Autumn,50,4.7,Group,6 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00138,Night Kayaking Tour,Amsterdam,Netherlands,"24 Adventure Hub, Jordaan, Amsterdam, Netherlands",Adventure,Liberal; Charming; Cycling-friendly,Spring; Summer,80,4.9,Couple,5 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00139,Harbour Sunset Cruise,Seoul,South Korea,"148 Spa Quarter, Hongdae, Seoul, South Korea",Relaxation,Trendy; K-pop; Foodie,Spring; Autumn,85,5.0,Couple,5 hrs,"A scenic evening cruise around the harbour with cocktails, local cheese, and a live acoustic duo as the city lights come on."
INT-AC-00140,Spa & Wellness Half Day,Bali,Indonesia,"72 Sky Lounge, Canggu, Bali, Indonesia",Relaxation,Spiritual; Tropical; Bohemian,Spring; Summer; Autumn,85,4.8,Couple,4 hrs,"Four hours of treatments including a traditional massage, thermal pools, and a skin ritual using locally sourced botanicals."
INT-AC-00141,Rooftop Bar Sunset Experience,Cape Town,South Africa,"24 Sky Lounge, V&A Waterfront, Cape Town, South Africa",Relaxation,Scenic; Adventurous; Diverse,Summer; Autumn,50,5.0,Group,5 hrs,"Reserved rooftop terrace access during golden hour, with a curated cocktail menu and 360-degree views over the city's skyline."
INT-AC-00142,City Panorama Cable Car,Kyoto,Japan,"42 Wellness Centre, Arashiyama, Kyoto, Japan",Relaxation,Serene; Traditional; Cultural,Spring; Autumn,60,4.3,Couple,4 hrs,"Ride historic gondolas to the city's highest viewpoint, with optional guided commentary and a café terrace at the summit."
INT-AC-00143,Morning Yoga & Meditation,Vienna,Austria,"195 Sky Lounge, Prater, Vienna, Austria",Relaxation,Imperial; Musical; Café culture,Spring; Summer,45,4.4,Couple,4 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00144,Thermal Baths & Spa,Istanbul,Turkey,"83 Spa Quarter, Sultanahmet, Istanbul, Turkey",Relaxation,Historic; Exotic; East-meets-West,Spring; Autumn,80,4.0,Solo,4 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00145,Lisbon Food Tour,Lisbon,Portugal,"169 Market Lane, Bairro Alto, Lisbon, Portugal",Food,Soulful; Coastal; Affordable,Spring; Summer; Autumn,60,5.0,Couple,4 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00146,Prague Cooking Class,Prague,Czech Republic,"160 Night Bazaar, Žižkov, Prague, Czech Republic",Food,Fairy-tale; Beer culture; Gothic,Spring; Summer,150,4.5,Group,2 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00147,Street Food Night Walk Maldives,Maldives,Maldives,"141 Night Bazaar, Baa Atoll, Maldives, Maldives",Food,Luxury; Tropical; Remote,Spring; Winter,65,4.6,Group,2 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00148,Sushi Making Workshop,Zurich,Switzerland,"32 Harbour Kitchen, Niederdorf, Zurich, Switzerland",Food,Clean; Alpine; Upscale,Summer; Autumn,110,4.9,Couple,4 hrs,"Hands-on session teaching rice preparation, fish selection, and rolling technique — finish by eating your creations with sake pairings."
INT-AC-00149,Wine & Cheese Tasting,Los Angeles,USA,"80 Street Food Alley, Venice, Los Angeles, USA",Food,Sunny; Creative; Beach,Spring; Summer; Autumn,65,5.0,Couple,4 hrs,"Curated tasting of local and imported wines paired with artisan cheeses, hosted in a cellar setting with a certified sommelier."
INT-AC-00150,Local Market Food Experience,Toronto,Canada,"30 Street Food Alley, Distillery District, Toronto, Canada",Food,Multicultural; Friendly; Urban,Summer; Autumn,65,4.0,Group,2 hrs,"Navigate a vibrant local produce market with a chef guide, sampling seasonal specialities and learning the stories behind each ingredient."
INT-AC-00151,Craft Beer & Brewery Tour,Tokyo,Japan,"131 Night Bazaar, Shibuya, Tokyo, Japan",Food,Bustling; Modern; Traditional,Spring; Autumn,85,4.9,Group,3 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00152,Farm-to-Table Dinner Experience,Paris,France,"117 Street Food Alley, Champs-Élysées, Paris, France",Food,Romantic; Artistic; Chic,Spring; Summer; Autumn,180,4.3,Group,3 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00153,Brisbane History Walking Tour,Brisbane,Australia,"71 Heritage Square, South Bank, Brisbane, Australia",Culture,Outdoorsy; Relaxed; Sunny,Spring; Autumn; Winter,70,4.1,Solo,2 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00154,Museum Skip-the-Line Tour,Berlin,Germany,"1 Old Town, Prenzlauer Berg, Berlin, Germany",Culture,Edgy; Creative; Historic,Spring; Summer,90,4.8,Couple,3 hrs,"Fast-track entry and an in-depth guided tour of the city's premier museum, covering highlights and hidden gems in under three hours."
INT-AC-00155,Dubai Art Gallery Visit,Dubai,UAE,"138 Cultural Precinct, Jumeirah, Dubai, UAE",Culture,Luxurious; Futuristic; Vibrant,Spring; Winter,45,4.7,Couple,2 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00156,Ancient Temple Morning Walk,Singapore,Singapore,"49 Old Town, Marina Bay, Singapore, Singapore",Culture,Modern; Multicultural; Clean,Spring; Summer; Autumn; Winter,60,4.3,Group,3 hrs,"Early-morning visit to a UNESCO-listed temple complex at sunrise, experiencing rituals and peaceful courtyards before tourist crowds arrive."
INT-AC-00157,Old Town Architecture Tour,London,UK,"12 Cultural Precinct, Shoreditch, London, UK",Culture,Historic; Cosmopolitan; Eclectic,Spring; Summer,85,4.2,Couple,2 hrs,A 90-minute walking tour tracing the city's architectural evolution from medieval lanes to baroque facades and modernist interventions.
INT-AC-00158,Cultural Dance Show,New York,USA,"127 Museum District, SoHo, New York, USA",Culture,Fast-paced; Iconic; Diverse,Spring; Autumn,95,4.7,Group,3 hrs,"An evening performance showcasing traditional folk dances, live music, and costume, followed by a meet-the-artists session backstage."
INT-AC-00159,Traditional Craft Workshop,Sydney,Australia,"26 Cultural Precinct, Circular Quay, Sydney, Australia",Culture,Beach; Outdoorsy; Vibrant,Spring; Summer; Autumn,70,4.1,Couple,2 hrs,"A two-hour hands-on session learning a regional craft — ceramics, weaving, or bookbinding — guided by a master artisan."
INT-AC-00160,Photography City Tour,Bangkok,Thailand,"168 Cultural Precinct, Old City, Bangkok, Thailand",Culture,Lively; Spiritual; Street food,Spring; Winter,85,4.9,Solo,2 hrs,"A guided photo walk through the city's most photogenic corners, with tips on composition, light, and storytelling from a professional photographer."
INT-AC-00161,Street Art & Graffiti Tour,Barcelona,Spain,"167 Cultural Precinct, Barceloneta, Barcelona, Spain",Culture,Artistic; Beach; Festive,Spring; Summer,45,4.1,Solo,3 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00162,Local Neighbourhood Walk,Rome,Italy,"139 Cultural Precinct, Trastevere, Rome, Italy",Culture,Historic; Romantic; Culinary,Spring; Autumn,30,4.9,Group,3 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00163,Amsterdam Bike Tour,Amsterdam,Netherlands,"192 Wharf, De Pijp, Amsterdam, Netherlands",Adventure,Liberal; Charming; Cycling-friendly,Spring; Summer,40,4.6,Solo,5 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00164,River Kayaking Experience,Seoul,South Korea,"43 Outdoor Centre, Insadong, Seoul, South Korea",Adventure,Trendy; K-pop; Foodie,Spring; Autumn,80,4.4,Group,3 hrs,"Paddle through scenic river gorges with an experienced instructor — safety gear, refreshments, and transport included."
INT-AC-00165,Sunset Sailing Cruise,Bali,Indonesia,"15 National Park Gate, Seminyak, Bali, Indonesia",Adventure,Spiritual; Tropical; Bohemian,Spring; Summer; Autumn,170,4.3,Couple,3 hrs,"A two-hour sunset cruise aboard a traditional sailing vessel, with canapés, local wine, and panoramic views of the city skyline."
INT-AC-00166,Jungle Trekking Adventure,Cape Town,South Africa,"136 Wharf, Gardens, Cape Town, South Africa",Adventure,Scenic; Adventurous; Diverse,Summer; Autumn,95,4.4,Solo,4 hrs,"Half-day guided trek through primary rainforest, spotting endemic wildlife and crossing rope bridges, concluding with a riverside picnic."
INT-AC-00167,Desert Safari Experience,Kyoto,Japan,"21 Wharf, Fushimi, Kyoto, Japan",Adventure,Serene; Traditional; Cultural,Spring; Autumn,250,4.6,Group,4 hrs,"Dune-bashing by 4WD followed by a Bedouin-style camp dinner under the stars, with camel rides, henna, and live music included."
INT-AC-00168,Rock Climbing Vienna,Vienna,Austria,"60 Wharf, Innere Stadt, Vienna, Austria",Adventure,Imperial; Musical; Café culture,Spring; Summer,105,4.6,Solo,6 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00169,Scuba Diving Lesson,Istanbul,Turkey,"120 Adventure Hub, Beyoğlu, Istanbul, Turkey",Adventure,Historic; Exotic; East-meets-West,Spring; Autumn,150,4.6,Solo,5 hrs,"PADI-certified introductory dive in crystal-clear coastal waters, covering basic techniques in a confined pool before an open-water experience."
INT-AC-00170,Hot Air Balloon Ride,Lisbon,Portugal,"89 Outdoor Centre, Belém, Lisbon, Portugal",Adventure,Soulful; Coastal; Affordable,Spring; Summer; Autumn,325,4.7,Couple,3 hrs,"Float over the city at dawn in a private basket, watching the landscape emerge in golden light with a champagne breakfast on landing."
INT-AC-00171,Zip Line Forest Canopy,Prague,Czech Republic,"78 Outdoor Centre, Old Town, Prague, Czech Republic",Adventure,Fairy-tale; Beer culture; Gothic,Spring; Summer,105,4.6,Solo,5 hrs,"Fly through the forest canopy on a multi-line zip circuit up to 200 m long, with safety briefing, harness fitting, and photos included."
INT-AC-00172,Stand-Up Paddleboard Tour,Maldives,Maldives,"98 Wharf, North Malé Atoll, Maldives, Maldives",Adventure,Luxury; Tropical; Remote,Spring; Winter,55,5.0,Couple,3 hrs,"Guided SUP tour along calm coastal or river waterways, exploring hidden coves and sea caves only accessible from the water."
INT-AC-00173,Coastal Cliff Walk,Zurich,Switzerland,"169 Adventure Hub, Enge, Zurich, Switzerland",Adventure,Clean; Alpine; Upscale,Summer; Autumn,65,4.4,Group,5 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00174,Night Kayaking Tour,Los Angeles,USA,"199 National Park Gate, Hollywood, Los Angeles, USA",Adventure,Sunny; Creative; Beach,Spring; Summer; Autumn,125,4.3,Group,6 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00175,Harbour Sunset Cruise,Toronto,Canada,"159 Rooftop Terrace, Kensington, Toronto, Canada",Relaxation,Multicultural; Friendly; Urban,Summer; Autumn,85,4.6,Group,3 hrs,"A scenic evening cruise around the harbour with cocktails, local cheese, and a live acoustic duo as the city lights come on."
INT-AC-00176,Spa & Wellness Half Day,Tokyo,Japan,"161 Wellness Centre, Asakusa, Tokyo, Japan",Relaxation,Bustling; Modern; Traditional,Spring; Autumn,110,4.7,Couple,5 hrs,"Four hours of treatments including a traditional massage, thermal pools, and a skin ritual using locally sourced botanicals."
INT-AC-00177,Rooftop Bar Sunset Experience,Paris,France,"188 Spa Quarter, Montmartre, Paris, France",Relaxation,Romantic; Artistic; Chic,Spring; Summer; Autumn,80,4.0,Group,3 hrs,"Reserved rooftop terrace access during golden hour, with a curated cocktail menu and 360-degree views over the city's skyline."
INT-AC-00178,City Panorama Cable Car,Brisbane,Australia,"45 Sky Lounge, Fortitude Valley, Brisbane, Australia",Relaxation,Outdoorsy; Relaxed; Sunny,Spring; Autumn; Winter,40,4.1,Couple,4 hrs,"Ride historic gondolas to the city's highest viewpoint, with optional guided commentary and a café terrace at the summit."
INT-AC-00179,Morning Yoga & Meditation,Berlin,Germany,"43 Spa Quarter, Kreuzberg, Berlin, Germany",Relaxation,Edgy; Creative; Historic,Spring; Summer,35,4.1,Couple,5 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00180,Thermal Baths & Spa,Dubai,UAE,"30 Spa Quarter, Downtown Dubai, Dubai, UAE",Relaxation,Luxurious; Futuristic; Vibrant,Spring; Winter,60,4.9,Couple,4 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00181,Singapore Food Tour,Singapore,Singapore,"143 Harbour Kitchen, Chinatown, Singapore, Singapore",Food,Modern; Multicultural; Clean,Spring; Summer; Autumn; Winter,105,5.0,Group,2 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00182,London Cooking Class,London,UK,"138 Night Bazaar, Kensington, London, UK",Food,Historic; Cosmopolitan; Eclectic,Spring; Summer,125,4.1,Couple,2 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00183,Street Food Night Walk New York,New York,USA,"164 Harbour Kitchen, Midtown, New York, USA",Food,Fast-paced; Iconic; Diverse,Spring; Autumn,40,4.5,Solo,4 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00184,Sushi Making Workshop,Sydney,Australia,"159 Market Lane, Bondi, Sydney, Australia",Food,Beach; Outdoorsy; Vibrant,Spring; Summer; Autumn,160,4.4,Group,3 hrs,"Hands-on session teaching rice preparation, fish selection, and rolling technique — finish by eating your creations with sake pairings."
INT-AC-00185,Wine & Cheese Tasting,Bangkok,Thailand,"163 Market Lane, Silom, Bangkok, Thailand",Food,Lively; Spiritual; Street food,Spring; Winter,130,4.3,Couple,4 hrs,"Curated tasting of local and imported wines paired with artisan cheeses, hosted in a cellar setting with a certified sommelier."
INT-AC-00186,Local Market Food Experience,Barcelona,Spain,"30 Harbour Kitchen, Gothic Quarter, Barcelona, Spain",Food,Artistic; Beach; Festive,Spring; Summer,60,4.9,Group,4 hrs,"Navigate a vibrant local produce market with a chef guide, sampling seasonal specialities and learning the stories behind each ingredient."
INT-AC-00187,Craft Beer & Brewery Tour,Rome,Italy,"30 Harbour Kitchen, Colosseum, Rome, Italy",Food,Historic; Romantic; Culinary,Spring; Autumn,65,4.0,Group,3 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00188,Farm-to-Table Dinner Experience,Amsterdam,Netherlands,"95 Harbour Kitchen, Museumplein, Amsterdam, Netherlands",Food,Liberal; Charming; Cycling-friendly,Spring; Summer,100,4.2,Couple,3 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00189,Seoul History Walking Tour,Seoul,South Korea,"168 Cultural Precinct, Gangnam, Seoul, South Korea",Culture,Trendy; K-pop; Foodie,Spring; Autumn,75,4.9,Group,2 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00190,Museum Skip-the-Line Tour,Bali,Indonesia,"177 Heritage Square, Ubud, Bali, Indonesia",Culture,Spiritual; Tropical; Bohemian,Spring; Summer; Autumn,45,4.8,Couple,3 hrs,"Fast-track entry and an in-depth guided tour of the city's premier museum, covering highlights and hidden gems in under three hours."
INT-AC-00191,Cape Town Art Gallery Visit,Cape Town,South Africa,"26 Old Town, Sea Point, Cape Town, South Africa",Culture,Scenic; Adventurous; Diverse,Summer; Autumn,50,4.2,Couple,2 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00192,Ancient Temple Morning Walk,Kyoto,Japan,"71 Cultural Precinct, Gion, Kyoto, Japan",Culture,Serene; Traditional; Cultural,Spring; Autumn,75,4.4,Group,2 hrs,"Early-morning visit to a UNESCO-listed temple complex at sunrise, experiencing rituals and peaceful courtyards before tourist crowds arrive."
INT-AC-00193,Old Town Architecture Tour,Vienna,Austria,"165 Museum District, Naschmarkt, Vienna, Austria",Culture,Imperial; Musical; Café culture,Spring; Summer,50,5.0,Couple,2 hrs,A 90-minute walking tour tracing the city's architectural evolution from medieval lanes to baroque facades and modernist interventions.
