flight_id,airline,origin,origin_country,destination,destination_country,departure_datetime,arrival_datetime,duration_minutes,cabin_class,price_aud,seats_available,booking_class
INT-FL-00199,British Airways,Los Angeles,USA,Tokyo,Japan,2026-06-27 15:51,2026-06-27 23:13,442,First,6892,117,Flex
INT-FL-00200,British Airways,Toronto,Canada,Paris,France,2026-03-14 07:30,2026-03-14 14:49,439,Business,3942,96,Premium
INT-FL-00201,Lufthansa,Tokyo,Japan,Mumbai,India,2026-07-25 19:17,2026-07-26 02:24,427,Economy,1024,273,Flex
INT-FL-00202,Emirates,Barcelona,Spain,Tokyo,Japan,2026-03-08 21:57,2026-03-09 11:23,806,First,6478,220,Flex
INT-FL-00203,Emirates,Hong Kong,China,Singapore,Singapore,2026-03-05 00:16,2026-03-05 07:28,432,Economy,1111,52,Premium
INT-FL-00204,Lufthansa,Mumbai,India,Rome,Italy,2026-01-22 19:52,2026-01-23 09:55,843,Business,3811,45,Premium
INT-FL-00205,Lufthansa,Cape Town,South Africa,Paris,France,2026-03-20 22:08,2026-03-21 13:30,922,First,7188,273,Premium
INT-FL-00206,Lufthansa,Mumbai,India,Istanbul,Turkey,2026-02-05 15:28,2026-02-06 01:13,585,Business,2626,213,Premium
INT-FL-00207,Singapore Airlines,Dubai,UAE,Zurich,Switzerland,2026-10-06 12:37,2026-10-06 14:26,109,First,6742,125,Premium
INT-FL-00208,Delta,Berlin,Germany,Hong Kong,China,2026-11-18 17:53,2026-11-18 20:10,137,Economy,939,95,Flex
INT-FL-00209,Qatar Airways,Amsterdam,Netherlands,Tokyo,Japan,2026-01-15 07:01,2026-01-15 19:00,719,First,6997,98,Premium
INT-FL-00210,Qatar Airways,Amsterdam,Netherlands,Barcelona,Spain,2026-07-10 18:39,2026-07-11 00:17,338,Economy,1928,150,Saver
INT-FL-00211,Delta,Mumbai,India,Istanbul,Turkey,2026-10-16 04:32,2026-10-16 06:47,135,First,6342,255,Premium
INT-FL-00212,Emirates,London,UK,Hong Kong,China,2026-11-14 15:47,2026-11-14 17:54,127,Economy,1058,262,Saver
INT-FL-00213,Qatar Airways,Amsterdam,Netherlands,Toronto,Canada,2026-12-04 17:28,2026-12-04 22:08,280,Business,3877,262,Premium
INT-FL-00214,Emirates,London,UK,Toronto,Canada,2026-03-06 09:55,2026-03-06 23:40,825,First,7009,75,Saver
INT-FL-00215,Emirates,Hong Kong,China,Cape Town,South Africa,2026-04-01 17:05,2026-04-01 21:24,259,Economy,1799,184,Flex
INT-FL-00216,Qatar Airways,Tokyo,Japan,Seoul,South Korea,2026-01-25 23:45,2026-01-26 04:22,277,Economy,1230,226,Premium
INT-FL-00217,Singapore Airlines,Tokyo,Japan,Seoul,South Korea,2026-04-12 22:45,2026-04-13 12:19,814,Economy,691,77,Premium
INT-FL-00218,Singapore Airlines,Bangkok,Thailand,New York,USA,2026-06-14 15:23,2026-06-15 03:04,701,First,6970,33,Saver
INT-FL-00219,Lufthansa,Mumbai,India,Barcelona,Spain,2026-05-31 21:42,2026-06-01 05:59,497,Business,3595,201,Saver
INT-FL-00220,British Airways,Barcelona,Spain,Dubai,UAE,2026-08-30 21:05,2026-08-31 03:54,409,Economy,1879,266,Premium
INT-FL-00221,Emirates,Barcelona,Spain,New York,USA,2026-01-26 01:27,2026-01-26 07:46,379,Business,3737,52,Saver
INT-FL-00222,Singapore Airlines,New York,USA,San Francisco,USA,2026-01-01 12:04,2026-01-01 21:41,577,Economy,1884,282,Saver
INT-FL-00223,Delta,Amsterdam,Netherlands,Tokyo,Japan,2026-06-07 12:16,2026-06-07 21:34,558,First,6043,26,Saver
INT-FL-00224,Delta,Istanbul,Turkey,Berlin,Germany,2026-08-11 00:42,2026-08-11 05:20,278,Economy,1816,202,Flex
INT-FL-00225,Delta,Barcelona,Spain,Singapore,Singapore,2026-11-08 19:55,2026-11-09 09:42,827,Economy,1066,122,Saver
INT-FL-00226,Delta,Amsterdam,Netherlands,Cape Town,South Africa,2026-10-17 18:55,2026-10-18 09:23,868,Economy,1170,272,Premium
INT-FL-00227,Lufthansa,Zurich,Switzerland,Barcelona,Spain,2026-02-19 00:48,2026-02-19 04:25,217,Economy,1631,177,Flex
INT-FL-00228,Delta,Los Angeles,USA,Mumbai,India,2026-09-17 11:37,2026-09-17 17:20,343,Economy,2051,273,Saver
INT-FL-00229,Qatar Airways,Singapore,Singapore,Cape Town,South Africa,2026-04-27 06:39,2026-04-27 17:48,669,First,6457,55,Premium
INT-FL-00230,Delta,Cape Town,South Africa,Berlin,Germany,2026-11-25 09:37,2026-11-25 13:17,220,First,6318,113,Saver
INT-FL-00231,Emirates,Hong Kong,China,Paris,France,2026-07-26 13:41,2026-07-26 19:14,333,Economy,1508,109,Saver
INT-FL-00232,Singapore Airlines,Seoul,South Korea,Paris,France,2026-03-19 12:55,2026-03-19 17:37,282,Business,3559,39,Saver
INT-FL-00233,Delta,Tokyo,Japan,Rome,Italy,2026-10-27 05:09,2026-10-27 18:29,800,First,6790,23,Flex
INT-FL-00234,Emirates,Istanbul,Turkey,Berlin,Germany,2026-01-07 22:47,2026-01-08 02:13,206,Economy,1494,110,Saver
INT-FL-00235,Qatar Airways,Istanbul,Turkey,Bangkok,Thailand,2026-04-09 13:01,2026-04-09 15:50,169,Economy,1378,131,Saver
INT-FL-00236,Emirates,Barcelona,Spain,Amsterdam,Netherlands,2026-07-21 07:13,2026-07-21 08:17,64,First,7006,179,Flex
INT-FL-00237,Delta,Zurich,Switzerland,Mumbai,India,2026-02-13 20:11,2026-02-14 11:11,900,First,7202,227,Flex
INT-FL-00238,Lufthansa,Singapore,Singapore,Berlin,Germany,2026-09-23 17:08,2026-09-24 07:27,859,Economy,1534,293,Saver
INT-FL-00239,Singapore Airlines,Istanbul,Turkey,Los Angeles,USA,2026-01-14 12:37,2026-01-15 03:23,886,First,6253,249,Premium
INT-FL-00240,British Airways,Hong Kong,China,Rome,Italy,2026-07-01 12:41,2026-07-01 16:11,210,Economy,1343,98,Premium
INT-FL-00241,British Airways,Seoul,South Korea,London,UK,2026-07-03 13:22,2026-07-04 02:12,770,Business,2803,51,Premium
INT-FL-00242,Emirates,Toronto,Canada,Cape Town,South Africa,2026-10-16 18:44,2026-10-17 03:29,525,Business,3832,132,Flex
INT-FL-00243,Emirates,Cape Town,South Africa,Los Angeles,USA,2026-06-20 22:18,2026-06-21 03:45,327,Business,3873,23,Flex
INT-FL-00244,Qatar Airways,Bangkok,Thailand,Hong Kong,China,2026-05-25 15:20,2026-05-26 02:09,649,Economy,1661,196,Flex
INT-FL-00245,Qatar Airways,Zurich,Switzerland,Dubai,UAE,2026-10-30 17:33,2026-10-31 09:11,938,Business,3888,288,Saver
INT-FL-00246,British Airways,San Francisco,USA,Cape Town,South Africa,2026-10-10 05:05,2026-10-10 18:06,781,Economy,1203,241,Premium
INT-FL-00247,Singapore Airlines,Seoul,South Korea,Los Angeles,USA,2026-11-10 03:41,2026-11-10 10:50,429,Economy,1108,268,Premium
INT-FL-00248,Qatar Airways,Paris,France,Tokyo,Japan,2026-10-25 15:38,2026-10-25 18:14,156,First,6360,139,Premium
INT-FL-00249,Qatar Airways,Seoul,South Korea,Berlin,Germany,2026-12-18 19:00,2026-12-18 23:41,281,Business,2751,261,Premium
INT-FL-00250,Singapore Airlines,San Francisco,USA,Bangkok,Thailand,2026-03-17 17:04,2026-03-18 07:17,853,Economy,1023,153,Premium
